ID,Title,Content,Timestamp,NewsSourceID,Url,NewsTime
1,Global Markets Rally,"Markets worldwide rallied today, led by tech stocks.",2/14/2022 9:23,1,https://source1.com/article1,2/14/2022 8:00
2,Political Tensions Rise,Political tensions are rising in several regions.,3/21/2022 15:45,1,https://source1.com/article2,3/21/2022 14:30
3,Health Breakthrough,Scientists announce a major health breakthrough.,5/10/2022 11:10,1,https://source1.com/article3,5/10/2022 10:00
4,Sports Finals Recap,A recap of the thrilling sports finals.,7/1/2022 18:30,1,https://source1.com/article4,7/1/2022 17:00
5,Weather Alert Issued,Severe weather alert issued for the weekend.,1/5/2023 7:55,1,https://source1.com/article5,1/5/2023 7:00
6,Tech Innovations,New AI innovations are transforming industries.,4/12/2022 11:20,1,https://source1.com/article6,4/12/2022 10:00
7,Economic Forecast,Experts predict steady growth for the next quarter.,9/25/2022 13:05,1,https://source1.com/article7,9/25/2022 12:00
8,Travel Restrictions,New travel restrictions announced.,3/14/2023 8:30,1,https://source1.com/article8,3/14/2023 8:00
9,Cultural Festival,Annual cultural festival draws crowds.,12/3/2022 19:15,1,https://source1.com/article9,12/3/2022 18:00
10,Science Breakthrough,Researchers announce a breakthrough in physics.,1/28/2022 10:00,1,https://source1.com/article10,1/28/2022 9:00
11,Elections Update,Latest polls show a tight race.,3/10/2022 14:45,2,https://source2.com/article1,3/10/2022 13:30
12,Global Summit,Leaders gather for the annual global summit.,6/18/2022 16:40,2,https://source2.com/article2,6/18/2022 15:00
13,Market Analysis,Analysts review the latest market trends.,8/17/2022 15:30,2,https://source2.com/article3,8/17/2022 14:00
14,Education Reform,New reforms proposed for education.,5/21/2023 9:50,2,https://source2.com/article4,5/21/2023 9:00
15,Environmental Report,New report highlights environmental concerns.,11/11/2022 12:10,2,https://source2.com/article5,11/11/2022 11:00
16,Tech Conference,Annual tech conference draws record attendance.,2/20/2022 9:30,2,https://source2.com/article6,2/20/2022 8:00
17,Local Elections,Local elections see high turnout.,5/5/2022 17:20,2,https://source2.com/article7,5/5/2022 16:00
18,Healthcare Advances,Advances in healthcare improve outcomes.,10/14/2022 14:00,2,https://source2.com/article8,10/14/2022 13:00
19,Sports Preview,Preview of the upcoming sports season.,6/30/2023 18:45,2,https://source2.com/article9,6/30/2023 17:00
20,Weather Update,Latest weather updates for the region.,7/22/2022 6:40,2,https://source2.com/article10,7/22/2022 6:00
21,Market Surges,Tech stocks lead a market surge.,2/15/2022 10:23,3,https://source3.com/article1,2/15/2022 9:00
22,Elections Coverage,Coverage of the upcoming elections.,3/11/2022 14:45,3,https://source3.com/article2,3/11/2022 13:30
23,Health Advisory,New health advisory issued.,5/23/2022 9:10,3,https://source3.com/article3,5/23/2022 8:00
24,Championship Results,Championship concludes with a thrilling match.,7/2/2022 18:30,3,https://source3.com/article4,7/2/2022 17:00
25,Weather Alert,Severe weather alert for the weekend.,1/6/2023 7:55,3,https://source3.com/article5,1/6/2023 7:00
26,AI Innovations,AI innovations transforming industries.,4/13/2022 11:20,3,https://source3.com/article6,4/13/2022 10:00
27,Economic Growth,Experts predict economic growth.,9/26/2022 13:05,3,https://source3.com/article7,9/26/2022 12:00
28,Travel News,New travel guidelines announced.,3/15/2023 8:30,3,https://source3.com/article8,3/15/2023 8:00
29,Festival Highlights,Highlights from the annual festival.,12/4/2022 19:15,3,https://source3.com/article9,12/4/2022 18:00
30,Physics Discovery,Major discovery in physics announced.,1/29/2022 10:00,3,https://source3.com/article10,1/29/2022 9:00
31,Breaking News: CNN,CNN reports a major event unfolding.,4/5/2022 12:00,4,https://source4.com/article1,4/5/2022 11:00
32,CNN Health,CNN covers new health developments.,1/17/2022 11:05,4,https://source4.com/article2,1/17/2022 10:00
33,CNN Technology,CNN reports on technology advances.,4/15/2023 9:05,4,https://source4.com/article3,4/15/2023 8:00
34,CNN World,CNN covers world news.,6/10/2022 9:30,4,https://source4.com/article4,6/10/2022 8:00
35,CNN Politics,CNN covers political news.,8/20/2022 14:15,4,https://source4.com/article5,8/20/2022 13:00
36,CNN Science,CNN publishes a science feature.,2/18/2023 16:45,4,https://source4.com/article6,2/18/2023 15:00
37,CNN Opinion,CNN shares an opinion piece.,11/25/2022 10:20,4,https://source4.com/article7,11/25/2022 9:00
38,CNN Economy,CNN analyzes economic trends.,3/30/2022 18:10,4,https://source4.com/article8,3/30/2022 17:00
39,CNN Debate,CNN hosts a political debate.,5/12/2023 7:50,4,https://source4.com/article9,5/12/2023 7:00
40,CNN Culture,CNN explores cultural events.,7/19/2022 13:40,4,https://source4.com/article10,7/19/2022 12:00
